request_id,citizen_id,office_id,channel,request_type,category,subcategory,created_at,closed_at,status,priority,satisfaction_rating,resolution_hours,cost_soles,department,province,district,latitude,longitude,contact_email,contact_phone
REQ-1000,CI-350,OF-002,presencial,queja,salud,abastecimiento,2024-07-12T02:00:00,2024-07-11T15:00:00,en_proceso,baja,2,60,176.87,Lima,Lima,Miraflores,-14.439658,-72.055823,user8929@mail.com,966306997
REQ-1001,CI-314,OF-003,web,reclamo,seguridad,ruidos,2023-09-08T05:00:00,2023-09-13T04:00:00,en_proceso,critica,5,57,239.61,Lima,Lima,Miraflores,-16.665378,,user5169@mail.com,963843426
REQ-1002,CI-649,OF-003,callcenter,queja,seguridad,iluminacion,2024-03-21T05:00:00,2024-03-26T02:00:00,abierto,media,3,129,266.69,Arequipa,Arequipa,Cayma,-12.085393,-70.665333,user4890@mail.com,995758349
REQ-1003,CI-482,OF-004,email,solicitud,tributos,predial,2023-09-11T07:00:00,2023-09-12T00:00:00,en_proceso,media,2,151,77.08,Lima,Lima,Miraflores,-13.457466,-77.970136,user1105@mail.com,914216175
REQ-1004,CI-653,OF-001,web,reclamo,transporte,semaforos,2024-02-21T15:00:00,2024-02-26T19:00:00,abierto,media,1,43,132.64,Cusco,Cusco,Wanchaq,-16.42314,-71.443365,user7455@mail.com,948285503
REQ-1005,CI-505,OF-002,callcenter,solicitud,salud,desconocido,2023-03-16T00:00:00,2023-03-20T22:00:00,cerrado,media,1,19,188.17,Arequipa,,Cayma,-16.423157,-70.100666,user1128@mail.com,942787299
REQ-1006,CI-537,OF-005,web,queja,servicios,agua,2024-12-08T04:00:00,2024-12-14T00:00:00,abierto,baja,5,38,150.43,Lima,Lima,Miraflores,-16.134669,-70.409167,user654@mail.com,958024342
REQ-1007,CI-985,OF-001,callcenter,consulta,transporte,rutas,2024-06-05T12:00:00,2024-06-12T18:00:00,anulado,media,1,30,306.96,Lima,Lima,Surco,-17.003596,-69.837191,user_at_mail.com,915134794
REQ-1008,CI-408,OF-004,email,queja,tributos,arbitrios,2023-10-21T06:00:00,,cerrado,media,3,120,154.63,La Libertad,Trujillo,Victor Larco,-16.768201,-74.241324,user2781@mail.com,998429450
REQ-1009,CI-783,OF-005,email,consulta,servicios,luz,2024-09-19T23:00:00,2024-09-29T12:00:00,en_proceso,alta,5,115,314.02,La Libertad,Trujillo,Victor Larco,-12.427984,-74.449372,user4051@mail.com,995585469
REQ-1010,CI-325,OF-004,presencial,consulta,tributos,arbitrios,2024-05-12T00:00:00,2024-05-16T04:00:00,en_proceso,media,4,186,57.77,Cusco,Cusco,Wanchaq,-12.039071,-69.673502,user8752@mail.com,913619375
REQ-1011,CI-477,OF-002,email,queja,salud,citas,2023-11-15T03:00:00,2023-11-21T08:00:00,abierto,baja,4,102,329.51,Lima,Lima,San Isidro,-17.690824,-72.28447,user3979@mail.com,abc123
REQ-1012,CI-683,OF-005,app,consulta,servicios,agua,2024-05-21T10:00:00,2024-05-23T09:00:00,en_proceso,baja,3,88,97.88,Arequipa,Arequipa,Cayma,-13.502069,-76.013583,user167@mail.com,979340535
REQ-1013,CI-202,OF-002,callcenter,reclamo,salud,vacunas,2023-07-03T09:00:00,2023-07-03T13:00:00,cerrado,baja,1,14,193.68,La Libertad,Trujillo,Victor Larco,-11.8746,-72.759173,user8043@mail.com,923769080
REQ-1014,CI-776,OF-001,presencial,reclamo,transporte,semaforos,2024-07-19T02:00:00,2024-07-20T19:00:00,abierto,media,5,121,101.94,Lima,Lima,San Isidro,-16.269697,-75.955535,user7439@mail.com,919553585
REQ-1015,CI-788,,email,queja,seguridad,patrullaje,2024-04-26T16:00:00,2024-05-03T15:00:00,en_proceso,baja,5,112,222.17,Cusco,Cusco,Wanchaq,-11.70733,-74.269906,user6691@mail.com,954735895
REQ-1016,CI-114,OF-005,app,queja,servicios,agua,2023-04-27T14:00:00,2023-04-28T21:00:00,cerrado,baja,3,131,246.89,Cusco,Cusco,Wanchaq,-12.60735,-69.677798,user3994@mail.com,971308842
REQ-1017,CI-779,OF-002,app,queja,salud,citas,2024-05-29T18:00:00,2024-06-02T07:00:00,cerrado,alta,4,26,184.08,Cusco,Cusco,Wanchaq,-18.097171,-77.202601,user2530@mail.com,920043277
