request_id,citizen_id,office_id,channel,request_type,category,subcategory,created_at,closed_at,status,priority,satisfaction_rating,resolution_hours,cost_soles,department,province,district,latitude,longitude,contact_email,resolution_hours_calc
REQ-1507,CI-360,OF-004,app,reclamo,tributos,predial,2024-12-21 05:00:00,2024-12-28 18:00:00,abierto,alta,1.0,179.0,189.7,Lima,Lima,San Isidro,,,user4231@mail.com,181.0
REQ-1077,CI-801,OF-004,web,reclamo,tributos,multas,2024-12-20 23:00:00,2024-12-29 06:00:00,en_proceso,alta,1.0,192.0,240.12,Lima,Lima,Miraflores,,,user1434@mail.com,199.0
REQ-1376,CI-906,OF-004,app,consulta,tributos,multas,2024-12-19 05:00:00,2024-12-23 11:00:00,en_proceso,media,2.0,225.0,209.21,Lima,Lima,Surco,-15.425431,-76.087933,user7412@mail.com,102.0
REQ-1338,CI-490,OF-002,presencial,solicitud,salud,vacunas,2024-12-18 09:00:00,2024-12-18 23:00:00,abierto,media,5.0,14.0,121.46,Lima,Lima,Miraflores,-18.138654,-70.112761,user6972@mail.com,14.0
REQ-1234,CI-450,OF-003,app,consulta,seguridad,iluminacion,2024-12-17 08:00:00,2024-12-23 10:00:00,en_proceso,baja,2.0,38.0,182.62,Lima,Lima,Miraflores,-16.719156,-75.16234,user5943@mail.com,146.0
REQ-1415,CI-162,OF-002,callcenter,consulta,salud,citas,2024-12-16 19:00:00,2024-12-19 04:00:00,cerrado,baja,4.0,180.0,,Cusco,Cusco,Wanchaq,-16.992778,-70.749389,user2623@mail.com,57.0
REQ-1460,CI-545,OF-004,web,reclamo,tributos,predial,2024-12-16 16:00:00,2024-12-25 06:00:00,en_proceso,baja,1.0,186.0,243.85,Cusco,Cusco,Wanchaq,,,user3378@mail.com,206.0
REQ-1368,CI-123,OF-004,presencial,consulta,tributos,arbitrios,2024-12-16 07:00:00,2024-12-21 08:00:00,abierto,media,4.0,70.0,197.77,Arequipa,Arequipa,Cayma,,,user1296@mail.com,121.0
REQ-1089,CI-991,OF-005,otro,solicitud,servicios,agua,2024-12-15 17:00:00,2024-12-17 15:00:00,en_proceso,media,5.0,112.0,183.21,La Libertad,Trujillo,Victor Larco,-14.623646,-70.319692,user7892@mail.com,46.0
REQ-1360,CI-451,OF-003,callcenter,queja,seguridad,ruidos,2024-12-15 00:00:00,2024-12-21 03:00:00,en_proceso,alta,5.0,235.0,328.96,Arequipa,Arequipa,Cayma,,,user6539@mail.com,147.0
REQ-1169,CI-500,OF-004,web,consulta,tributos,arbitrios,2024-12-14 06:00:00,2024-12-21 18:00:00,cerrado,baja,2.0,83.0,263.29,Arequipa,Arequipa,Cayma,-12.398769,-78.01289,user4982@mail.com,180.0
REQ-1179,CI-103,OF-002,email,reclamo,salud,abastecimiento,2024-12-14 00:00:00,2024-12-23 10:00:00,cerrado,media,5.0,182.0,,Lima,Lima,Surco,,,user4400@mail.com,226.0
REQ-1222,CI-828,OF-002,app,solicitud,salud,desconocido,2024-12-12 08:00:00,2024-12-19 16:00:00,abierto,alta,3.0,46.0,8.85,Lima,Lima,Surco,-12.469006,-71.563297,,176.0
REQ-1133,CI-460,OF-004,email,consulta,tributos,arbitrios,2024-12-12 00:00:00,2024-12-20 04:00:00,abierto,media,4.0,203.0,224.38,Lima,Lima,Miraflores,-15.515566,-72.845334,user5141@mail.com,196.0
REQ-1442,CI-803,OF-004,web,reclamo,tributos,predial,2024-12-11 15:00:00,2024-12-20 16:00:00,en_proceso,media,,68.0,85.53,Lima,Lima,Miraflores,-12.801738,-77.597646,user3042@mail.com,217.0
REQ-1461,CI-289,OF-005,app,consulta,servicios,limpieza,2024-12-08 10:00:00,2024-12-18 03:00:00,cerrado,media,2.0,800.0,100.91,Lima,Lima,Miraflores,-17.557888,-71.405648,user448@mail.com,233.0
REQ-1006,CI-537,OF-005,web,queja,servicios,agua,2024-12-08 04:00:00,2024-12-14 00:00:00,abierto,baja,5.0,38.0,150.43,Lima,Lima,Miraflores,-16.134669,-70.409167,user654@mail.com,140.0
REQ-1443,CI-344,OF-002,web,queja,salud,vacunas,2024-12-06 00:00:00,2024-12-06 17:00:00,en_proceso,baja,2.0,133.0,97.62,Lima,Lima,San Isidro,-16.776801,-75.827698,user1157@mail.com,17.0
